row_index,in_roi,roi_width_px,x_scale_m_per_px,y_scale_m_per_px
614,1,921,0.00341013,0.01077146
615,1,921,0.00340720,0.01075064
616,1,921,0.00340423,0.01072990
617,1,921,0.00340131,0.01070922
618,1,921,0.00339841,0.01068857
619,1,922,0.00339488,0.01066731
620,1,922,0.00339197,0.01064681
621,1,922,0.00338905,0.01062637
622,1,922,0.00338617,0.01060600
623,1,922,0.00338326,0.01058564
624,1,922,0.00338038,0.01056539
625,1,922,0.00337752,0.01054519
626,1,922,0.00337464,0.01052502
627,1,922,0.00337176,0.01050490
628,1,922,0.00336890,0.01048488
629,1,922,0.00336604,0.01046489
630,1,922,0.00336318,0.01044499
631,1,922,0.00336035,0.01042509
632,1,922,0.00335750,0.01040531
633,1,922,0.00335467,0.01038552
634,1,922,0.00335187,0.01036585
635,1,922,0.00334904,0.01034620
636,1,922,0.00334621,0.01032661
637,1,922,0.00334341,0.01030708
638,1,922,0.00334061,0.01028760
639,1,922,0.00333777,0.01026819
640,1,922,0.00333500,0.01024881
641,1,922,0.00333223,0.01022950
642,1,922,0.00332945,0.01021024
643,1,922,0.00332668,0.01019104
644,1,922,0.00332390,0.01017190
645,1,922,0.00332113,0.01015280
646,1,922,0.00331838,0.01013376
647,1,922,0.00331561,0.01011477
648,1,922,0.00331286,0.01009585
649,1,922,0.00331011,0.01007696
650,1,922,0.00330739,0.01005813
651,1,922,0.00330465,0.01003935
652,1,922,0.00330192,0.01002063
653,1,922,0.00329921,0.01000196
654,1,922,0.00329648,0.00998335
655,1,922,0.00329376,0.00996478
656,1,922,0.00329107,0.00994626
657,1,922,0.00328835,0.00992780
658,1,922,0.00328569,0.00990939
659,1,922,0.00328299,0.00989103
660,1,922,0.00328030,0.00987272
661,1,922,0.00327760,0.00985446
662,1,922,0.00327494,0.00983626
663,1,922,0.00327227,0.00981810
664,1,922,0.00326961,0.00979999
665,1,922,0.00326694,0.00978193
666,1,922,0.00326427,0.00976393
667,1,922,0.00326166,0.00974596
668,1,922,0.00325899,0.00972806
669,1,922,0.00325636,0.00971020
670,1,922,0.00325372,0.00969239
671,1,922,0.00325110,0.00967463
672,1,922,0.00324846,0.00965692
673,1,922,0.00324585,0.00963924
674,1,922,0.00324327,0.00962164
675,1,922,0.00324065,0.00960408
676,1,922,0.00323804,0.00958655
677,1,922,0.00323546,0.00956908
678,1,922,0.00323287,0.00955166
679,1,922,0.00323026,0.00953429
680,1,691,0.00310114,0.00940325
681,1,231,0.00286828,0.00919310
682,0,0,0.00000000,0.00000000
683,0,0,0.00000000,0.00000000
684,0,0,0.00000000,0.00000000
685,0,0,0.00000000,0.00000000
686,0,0,0.00000000,0.00000000
